,post_id,Id,title,link,post_indicies,reccomendation
0,1631232,1631232,Swapping machine OS with VM OS,https://superuser.com/q/1631232,41525,-6268197500000.0
1,1631234,1631234,Swapping machine OS with VM OS,https://superuser.com/a/1631234,41526,-11948369000000.0
2,1630983,1630983,Windows 10 - Cannot Move Window Partially Off-Screen,https://superuser.com/q/1630983,41527,2110222400000.0
3,1631229,1631229,What is a RAM Bank? How is it defined?,https://superuser.com/a/1631229,41528,529656600000.0
4,1631233,1631233,Does Google Chrome&#39;s on Android &#39;Lite mode&#39; affect PWAs?,https://superuser.com/q/1631233,41529,1163279500000.0
5,1631231,1631231,"Drive boots in desktop, not in laptop, can not find OS",https://superuser.com/q/1631231,41530,-10296484000000.0
6,1631230,1631230,CERTUTIL - how to get subject hash,https://superuser.com/q/1631230,41531,165208850000000.0
7,1631228,1631228,How to get text in multi-row merged cell always visible (when at least one of its rows is visible)?,https://superuser.com/a/1631228,41532,194324580000.0
8,1631227,1631227,Debian GNU/Linux (LXDE): How can I change the XDG_DATA_DIRS environmental variable permanently if ~/.xsessionrc doesn&#39;t work?,https://superuser.com/q/1631227,41533,-1027120230000.0
9,1631225,1631225,Outpout a bracket and quotation marks in a print function arduino,https://superuser.com/q/1631225,41534,-10180805000000.0
10,1631226,1631226,Voice chat application mutes sound of all other applications when using Bluetooth headsets on Windows 10,https://superuser.com/a/1631226,41535,16153871000.0
11,1631224,1631224,Linux rename with replacement,https://superuser.com/q/1631224,41536,-20846079000000.0
12,1631223,1631223,My HP chromebook will not stop making this loud chiming noise. How can I fix this?,https://superuser.com/q/1631223,41537,-3465435400000.0
13,1631221,1631221,Will adding RAM improve my PC performance when using Android studio?,https://superuser.com/a/1631221,41538,-7755580000000.0
14,1631220,1631220,why does &quot;iw wlan0 scan&quot; results in errors &quot;Network is down (-100)&quot; or &quot;device or resource busy (-16)&quot;,https://superuser.com/a/1631220,41539,-1397360700000.0
15,1631219,1631219,Why programs nowadays install itself into AppData/Local in Windows?,https://superuser.com/a/1631219,41540,2861540300000.0
16,1631204,1631204,Windows 7 Windows update error 80072EFE,https://superuser.com/q/1631204,41541,-43913392000.0
17,1631218,1631218,Prevent SSH key to be automatically added to agent,https://superuser.com/a/1631218,41542,142605580000.0
18,1631217,1631217,copy an &amp; to the clipboard using a batch file,https://superuser.com/a/1631217,41543,696433500000.0
19,1631207,1631207,copy an &amp; to the clipboard using a batch file,https://superuser.com/q/1631207,41544,12413743000000.0
20,1631031,1631031,GitHub SSH test comes back successfully but wrong username,https://superuser.com/q/1631031,41545,153399480000.0
21,1631216,1631216,GitHub SSH test comes back successfully but wrong username,https://superuser.com/a/1631216,41546,1902510200000.0
22,1631215,1631215,Run minecraft server on startup without login,https://superuser.com/a/1631215,41547,-308850230000.0
23,1631214,1631214,Headphone microphone turns off on loud noises in the headset,https://superuser.com/q/1631214,41548,3161960500000.0
