post_id,Id,title,link,post_indicies
1631232,1631232,Swapping machine OS with VM OS,https://superuser.com/q/1631232,41525
1630983,1630983,Windows 10 - Cannot Move Window Partially Off-Screen,https://superuser.com/q/1630983,41527
1631233,1631233,Does Google Chrome&#39;s on Android &#39;Lite mode&#39; affect PWAs?,https://superuser.com/q/1631233,41529
1631231,1631231,"Drive boots in desktop, not in laptop, can not find OS",https://superuser.com/q/1631231,41530
1631230,1631230,CERTUTIL - how to get subject hash,https://superuser.com/q/1631230,41531
1631227,1631227,Debian GNU/Linux (LXDE): How can I change the XDG_DATA_DIRS environmental variable permanently if ~/.xsessionrc doesn&#39;t work?,https://superuser.com/q/1631227,41533
1631225,1631225,Outpout a bracket and quotation marks in a print function arduino,https://superuser.com/q/1631225,41534
1631224,1631224,Linux rename with replacement,https://superuser.com/q/1631224,41536
1631223,1631223,My HP chromebook will not stop making this loud chiming noise. How can I fix this?,https://superuser.com/q/1631223,41537
1631204,1631204,Windows 7 Windows update error 80072EFE,https://superuser.com/q/1631204,41541
1631207,1631207,copy an &amp; to the clipboard using a batch file,https://superuser.com/q/1631207,41544
1631031,1631031,GitHub SSH test comes back successfully but wrong username,https://superuser.com/q/1631031,41545
1631214,1631214,Headphone microphone turns off on loud noises in the headset,https://superuser.com/q/1631214,41548
1631183,1631183,What happens in raid 1 when a disk becomes full?,https://superuser.com/q/1631183,41549
1631212,1631212,Music managing software delete lower quality duplicates,https://superuser.com/q/1631212,41551
1630499,1630499,frei0r filters not working,https://superuser.com/q/1630499,41552
1631211,1631211,How to slice array of awk-output in bash?,https://superuser.com/q/1631211,41553
1631210,1631210,Install kubernetes manually with cri-o,https://superuser.com/q/1631210,41554
1631209,1631209,Two routers = two networks?,https://superuser.com/q/1631209,41555
1631208,1631208,What are the phpMySql import file options for update vs. replace vs. add?,https://superuser.com/q/1631208,41556
1631160,1631160,How can I recreate an installer iso from a usb (Mac/Windows) using dd?,https://superuser.com/q/1631160,41557
1631117,1631117,Microphone does not work when online conversation on Win 10,https://superuser.com/q/1631117,41559
1631205,1631205,How can I make excel divide a &lt; value by another real value,https://superuser.com/q/1631205,41561
1631193,1631193,Why can&#39;t I access a Linux machine remotely from my windows 10 machine?,https://superuser.com/q/1631193,41562
1631203,1631203,Restream HLS thru a VPS to the Internet,https://superuser.com/q/1631203,41563
1631202,1631202,How do I make my send mails from Outlook available across devices?,https://superuser.com/q/1631202,41564
